SamAccountName; City; StreetAddress; physicalDeliveryOfficeName; info; Company; PostalCode
tul3; Тула; ул. Пролетарская д. 2; ТРЦ Макси; ;" АО ""Одежда 3000"""; 
vlg2; Вологда; ул. Благовещенская д. 4; ТД ЦУМ; ;" АО ""Одежда 3000"""; 
ast2; Астрахань; Вокзальная пл. д. 13; ТЦ Ярмарка; ;" АО ""Одежда 3000"""; 
arh2; Архангельск; Ленинградский проспект д. 38; ТРЦ «Макси»; этаж 2;" АО ""Одежда 3000"""; 
mos9; Москва; Хорошевское шоссе д. 27; ТРЦ «Хорошо»; этаж 2;" АО ""Одежда 3000"""; 
ufa5; Уфа; ул. Комсомольская д. 112; ТЦ Июнь; этаж 2;" АО ""Одежда 3000"""; 
mos10; Москва ; ул. Бауманская д. 32 стр.2;" ТРЦ ""Елоховский пассаж"""; ;" АО ""Одежда 3000"""; 
mos11; Москва; ул. Большая Черкизовская д. 125;" ТРЦ ""Радуга"""; ;" АО ""Одежда 3000"""; 
mos12; Москва; Дмитровское шоссе  д.13 корп.1; ТЦ Метромаркет; ;" АО ""Одежда 3000"""; 
vor4; Воронеж; Будьвар победы д. 23б.; ТЦ Арена; ;" АО ""Одежда 3000"""; 
sp16; Санкт-Петербург; Бухарестская д. 30 литер А;" ТРК ""Континент"""; ;" АО ""Одежда 3000"""; 
sp17; Санкт-Петербург; Большевиков д. 27 литер А;" ТРК ""Смайл"""; ;" АО ""Одежда 3000"""; 
mos13; Москва; ул. Шоссе Энтузиастов д. 12 кор. 2; Город Лефортово; ;" АО ""Одежда 3000"""; 
mos14; Москва; ул. Рязанский пр-т д. 2 кор. 2; Город Рязанка; ;" АО ""Одежда 3000"""; 
nms1; Новомосковск; ул. Трудовые резервы д. 33Б; ТЦ Первый; ;" АО ""Одежда 3000"""; 
sp15; Санкт-Петербург; Пулковское шоссе д. 25к1; ТРЦ Лето; ;" АО ""Одежда 3000"""; 
