"Name","DistinguishedName","OperatingSystem","OperatingSystemServicePack","OperatingSystemVersion"
"CO-COM-WN-37","CN=CO-COM-WN-37,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-TRD-WN-02","CN=CO-TRD-WN-02,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 8.1 Профессиональная",,"6.3 (9600)"
"CO-COM-WN-42","CN=CO-COM-WN-42,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WN-14","CN=CO-IT-WN-14,OU=Computers_IT,OU=Informational Technologies,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 10 Pro",,"10.0 (10586)"
"CO-SAP-BI","CN=CO-SAP-BI,OU=Potentially disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2008 R2 Enterprise","Service Pack 1","6.1 (7601)"
"DMZ-TMG01","CN=DMZ-TMG01,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"co-it-wn-70","CN=co-it-wn-70,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 10 Pro",,"10.0 (10586)"
"CO-TEST-ORA01","CN=CO-TEST-ORA01,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2008 R2 Enterprise","Service Pack 1","6.1 (7601)"
"CO-POS-TST","CN=CO-POS-TST,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"D2-SAP-FSP","CN=D2-SAP-FSP,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2008 R2 Enterprise","Service Pack 1","6.1 (7601)"
"CO-COM-WW-146","CN=CO-COM-WW-146,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-110","CN=CO-COM-WW-110,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WN-84","CN=CO-IT-WN-84,OU=Computers_IT,OU=Informational Technologies,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 10 Pro (Registered Trademark)",,"10.0 (14393)"
"CO-RAZ-WW-27","CN=CO-RAZ-WW-27,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-LOG-WN-01","CN=CO-LOG-WN-01,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"DC-PCA01","CN=DC-PCA01,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2012 R2 Standard",,"6.3 (9600)"
"DC-TMG01","CN=DC-TMG01,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"CO-COM-WW-73","CN=CO-COM-WW-73,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"DC-SP-DEV01","CN=DC-SP-DEV01,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2012 R2 Standard",,"6.3 (9600)"
"PNZ1-DIR-WW-01","CN=PNZ1-DIR-WW-01,OU=Penza1,OU=Povolzhe-1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WN-02","CN=CO-IT-WN-02,OU=Computers_IT,OU=Informational Technologies,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"WIN-HJ47R74KDMH","CN=WIN-HJ47R74KDMH,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"CO-RAZ-WN-29","CN=CO-RAZ-WN-29,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-MAR-WN-04","CN=CO-MAR-WN-04,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-MAR-WN-08","CN=CO-MAR-WN-08,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-MAR-WW-05","CN=CO-MAR-WW-05,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"REU2-WM-04","CN=REU2-WM-04,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"ARM1-VID-WW-01","CN=ARM1-VID-WW-01,OU=Armavir1,OU=Iug-1,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-80","CN=CO-COM-WW-80,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"DMZ-ESX02","CN=DMZ-ESX02,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","unknown","Likewise Identity 5.3.0","unknown"
"CO-LOG-WW-37","CN=CO-LOG-WW-37,OU=Computers_LOG,OU=Logistics,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WN-77","CN=CO-COM-WN-77,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"REG-SAL-WN-27","CN=REG-SAL-WN-27,OU=computers,OU=Regional managers,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-BUH-WW-56","CN=CO-BUH-WW-56,OU=Computers_BUH,OU=Accounting,OU=Financial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"REG-SAL-WN-04","CN=REG-SAL-WN-04,OU=computers,OU=Regional managers,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"TEST-IT-WW-71","CN=TEST-IT-WW-71,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"REG-SAL-WN-20","CN=REG-SAL-WN-20,OU=computers,OU=Regional managers,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WW-WSUST8","CN=CO-IT-WW-WSUST8,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 8.1 Профессиональная",,"6.3 (9600)"
"CO-BUH-WN-03","CN=CO-BUH-WN-03,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 8.1 Профессиональная",,"6.3 (9600)"
"SGO-PROD","CN=SGO-PROD,OU=Store_test,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WN-07","CN=CO-COM-WN-07,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"MOS1-KLAD-WW-01","CN=MOS1-KLAD-WW-01,OU=Moscow1,OU=Closed,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WN-59","CN=CO-COM-WN-59,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-61","CN=CO-COM-WW-61,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-149","CN=CO-COM-WW-149,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SPB5-KASS-WW-01","CN=SPB5-KASS-WW-01,OU=Saint_Peterburg5,OU=Sankt-Peterburg-1,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"DC-BS01","CN=DC-BS01,OU=User_service,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"NSB2-KLAD-WW-01","CN=NSB2-KLAD-WW-01,OU=Novosibirsk2,OU=Sibir,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-ADM-WN-34","CN=CO-ADM-WN-34,OU=Computers_ADM,OU=Administration_support,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 10 Pro",,"10.0 (10240)"
"DC-SAP-PIP","CN=DC-SAP-PIP,OU=SAP,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2008 R2 Enterprise","Service Pack 1","6.1 (7601)"
"CO-FS02","CN=CO-FS02,OU=File Servers,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2012 R2 Standard",,"6.3 (9600)"
"NSB3-KLAD-WW-01","CN=NSB3-KLAD-WW-01,OU=Novosibirsk3,OU=Sibir,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"DC-SKUD02","CN=DC-SKUD02,OU=Temporary,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2012 R2 Standard",,"6.3 (9600)"
"DC-SQL02","CN=DC-SQL02,OU=SQL Servers,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2012 R2 Standard",,"6.3 (9600)"
"CO-IT-WW-50","CN=CO-IT-WW-50,OU=wsus_test,OU=Service_groups,OU=AllDomainGroups,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"DC-SAP-BWP","CN=DC-SAP-BWP,OU=SAP,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2008 R2 Enterprise","Service Pack 1","6.1 (7601)"
"NOV1-KLAD-WW-01","CN=NOV1-KLAD-WW-01,OU=Nizhniy_Novgorod1,OU=Tsentr - Vostok,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"DMZ-ESX01","CN=DMZ-ESX01,OU=Potentially disabled,OU=Disabled Computers,DC=domain,DC=local","unknown","Likewise Identity 5.3.0","unknown"
"ORS1-MED-WW-01","CN=ORS1-MED-WW-01,OU=Orsk1,OU=Ural -1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"DC-SAP-GW","CN=DC-SAP-GW,OU=SAP,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"CO-IT-WW-09","CN=CO-IT-WW-09,OU=Computers_IT,OU=Informational Technologies,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"VOR2-DIR-WW-01","CN=VOR2-DIR-WW-01,OU=Voronezh2,OU=Chernozeme,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"DC-WEBAPPS01","CN=DC-WEBAPPS01,OU=Potentially disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2012 R2 Standard",,"6.3 (9600)"
"REG-SAL-WN-25","CN=REG-SAL-WN-25,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"NOV2-KLAD-WW-01","CN=NOV2-KLAD-WW-01,OU=Nizhniy_Novgorod2,OU=Tsentr - Vostok,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-BUH-WW-46","CN=CO-BUH-WW-46,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-34","CN=CO-COM-WW-34,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"REG-SAL-WN-07","CN=REG-SAL-WN-07,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-04","CN=CO-COM-WW-04,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WN-25","CN=CO-COM-WN-25,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-HR-WN-06","CN=CO-HR-WN-06,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SAL-WN-03","CN=SAL-WN-03,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"REG-SAL-WN-03","CN=REG-SAL-WN-03,OU=computers,OU=Regional managers,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-ADM-WN-23","CN=CO-ADM-WN-23,OU=Computers_ADM,OU=Administration_support,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SPB4-KLAD-WW-01","CN=SPB4-KLAD-WW-01,OU=Saint_Peterburg4,OU=Sankt-Peterburg-1,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CHR1-MAN-WW-01","CN=CHR1-MAN-WW-01,OU=Cherepovets1,OU=Tsentr-Sever,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WN-19","CN=CO-COM-WN-19,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SAR2-KASS-WW-01","CN=SAR2-KASS-WW-01,OU=Saratov2,OU=Povolzhe-1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-178","CN=CO-COM-WW-178,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"VLZ1-MED-WW-01","CN=VLZ1-MED-WW-01,OU=Volzhskiy1,OU=Iug-2,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"TUM3-MED-WW-01","CN=TUM3-MED-WW-01,OU=Tumen3,OU=Ural-2,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"ngk1-klad-ww-01","CN=ngk1-klad-ww-01,OU=Noginsk1,OU=Moskva - 2,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-HR-WW-21","CN=CO-HR-WW-21,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"MOS4-DIR-WW-01","CN=MOS4-DIR-WW-01,OU=Moscow4,OU=Moskva - 2,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-FIN-WN-03","CN=CO-FIN-WN-03,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-TS03","CN=CO-TS03,OU=Terminal servers,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2008 R2 Enterprise","Service Pack 1","6.1 (7601)"
"DC-POS03-OLD","CN=DC-POS03-OLD,OU=POS,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2012 R2 Standard",,"6.3 (9600)"
"dc-venta01","CN=dc-venta01,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows 8.1 Профессиональная",,"6.3 (9600)"
"CO-IT-WW-38","CN=CO-IT-WW-38,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"DC-SAP-PSB","CN=DC-SAP-PSB,OU=SAP,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2008 R2 Enterprise","Service Pack 1","6.1 (7601)"
"CO-SDB-TEST","CN=CO-SDB-TEST,OU=Moscow7,OU=Moskva - 3,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"UFA3-KLAD-WW-01","CN=UFA3-KLAD-WW-01,OU=Ufa3,OU=Ural -1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"IZH1-KASS-WW-01","CN=IZH1-KASS-WW-01,OU=Izhevsk1,OU=Povolzhe-2,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"KST2-KLAD-WW-01","CN=KST2-KLAD-WW-01,OU=Kostroma2,OU=Tsentr-Sever,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"TAM2-KLAD-WW-01","CN=TAM2-KLAD-WW-01,OU=Tambov2,OU=Chernozeme,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"VOR3-MAN-WW-02","CN=VOR3-MAN-WW-02,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows XP Professional","Service Pack 3","5.1 (2600)"
"CO-ADM-WN-08","CN=CO-ADM-WN-08,OU=Computers_ADM,OU=Administration_support,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WW-29","CN=CO-IT-WW-29,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-SEC-WN-01","CN=CO-SEC-WN-01,OU=Computers_SEC,OU=Security management,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"DMZ-VIP01","CN=DMZ-VIP01,OU=Temporary,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2012 R2 Standard",,"6.3 (9600)"
"WIN10-TST-DD","CN=WIN10-TST-DD,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 10 Pro",,"10.0 (10240)"
"MININT-6SJRL5Q","CN=MININT-6SJRL5Q,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-RAZ-WN-30","CN=CO-RAZ-WN-30,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"DC-SAP-DS2","CN=DC-SAP-DS2,OU=SAP,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2008 R2 Enterprise","Service Pack 1","6.1 (7601)"
"CO-ADM-WN-120","CN=CO-ADM-WN-120,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"DC-SAP-QA","CN=DC-SAP-QA,OU=SAP,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2008 R2 Enterprise","Service Pack 1","6.1 (7601)"
"D2-RMS02","CN=D2-RMS02,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2012 R2 Standard",,"6.3 (9600)"
"PER2-KLAD-WW-01","CN=PER2-KLAD-WW-01,OU=Perm2,OU=Povolzhe-2,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"DC-SAP-SMP","CN=DC-SAP-SMP,OU=SAP,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2008 R2 Enterprise","Service Pack 1","6.1 (7601)"
"TUL3-MED-WW-01","CN=TUL3-MED-WW-01,OU=Tula3,OU=Tsentr-1,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"EKB2-KLAD-WW-01","CN=EKB2-KLAD-WW-01,OU=Ekaterinburg2,OU=Ural-2,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"TUL3-MAN-WW-01","CN=TUL3-MAN-WW-01,OU=Tula3,OU=Tsentr-1,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WN-18","CN=CO-COM-WN-18,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SAM5-POS","CN=SAM5-POS,OU=Samara5,OU=Povolzhe-1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2003","Service Pack 2","5.2 (3790)"
"REG-SAL-WN-05","CN=REG-SAL-WN-05,OU=Retail,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"NVS1-KLAD-WW-01","CN=NVS1-KLAD-WW-01,OU=Novorossiysk1,OU=Iug-1,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-SAP-PROD","CN=CO-SAP-PROD,OU=SAP,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2008 R2 Enterprise","Service Pack 1","6.1 (7601)"
"DC-FTP01","CN=DC-FTP01,OU=File Servers,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"TUL3-DIR-WW-01","CN=TUL3-DIR-WW-01,OU=Tula3,OU=Tsentr-1,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"D2-SAP-BP1","CN=D2-SAP-BP1,OU=8M Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2012 R2 Standard",,"6.3 (9600)"
"CO-DATAMAX-TEST","CN=CO-DATAMAX-TEST,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 8.1 Профессиональная",,"6.3 (9600)"
"CO-COM-WN-29","CN=CO-COM-WN-29,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-MAR-WN-09","CN=CO-MAR-WN-09,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"VOR2-MAN-WW-01","CN=VOR2-MAN-WW-01,OU=Voronezh2,OU=Chernozeme,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WW-WSUS10","CN=CO-IT-WW-WSUS10,OU=Update_only,DC=domain,DC=local","Windows 10 Pro",,"10.0 (10240)"
"D2-SAP-PP1","CN=D2-SAP-PP1,OU=8M Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2012 R2 Standard",,"6.3 (9600)"
"DC-SAP-PD1","CN=DC-SAP-PD1,OU=SAP,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2008 R2 Enterprise","Service Pack 1","6.1 (7601)"
"CO-COM-WN-99","CN=CO-COM-WN-99,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-93","CN=CO-COM-WW-93,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-TRD-WN-01","CN=CO-TRD-WN-01,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"REG-SAL-WN-15","CN=REG-SAL-WN-15,OU=computers,OU=Regional managers,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"TUL3-KLAD-WW-01","CN=TUL3-KLAD-WW-01,OU=Tula3,OU=Tsentr-1,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-14","CN=CO-COM-WW-14,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"DC-TEMP-SAP01","CN=DC-TEMP-SAP01,OU=Potentially disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2012 R2 Standard",,"6.3 (9600)"
"CO-MAR-WW-30","CN=CO-MAR-WW-30,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WN-08","CN=CO-IT-WN-08,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 8.1 Профессиональная",,"6.3 (9600)"
"CHE3-MAN-COMP","CN=CHE3-MAN-COMP,OU=Chelyabinsk3,OU=Ural-2,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"MOS8-POS","CN=MOS8-POS,OU=Moscow8,OU=Moskva - 3,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"CO-COM-WN-63","CN=CO-COM-WN-63,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
