"Name","DistinguishedName","OperatingSystem","OperatingSystemServicePack","OperatingSystemVersion"
"IVN2-KLAD-WW-01","CN=IVN2-KLAD-WW-01,OU=Ivanovo2,OU=Tsentr-Sever,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"STA2-KLAD-WW-01","CN=STA2-KLAD-WW-01,OU=Stavropol2,OU=Iug-3,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"VOR2-KLAD-WW-01","CN=VOR2-KLAD-WW-01,OU=Voronezh2,OU=Chernozeme,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-214","CN=CO-COM-WW-214,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"RYA2-DIR-WW-01","CN=RYA2-DIR-WW-01,OU=Ryazan2,OU=Tsentr-1,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SPB6-KLAD-WW-01","CN=SPB6-KLAD-WW-01,OU=Saint_Peterburg6,OU=Sankt-Peterburg-2,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"YAR2-KLAD-WW-01","CN=YAR2-KLAD-WW-01,OU=Yaroslavl2,OU=Tsentr-Sever,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WN-110","CN=CO-COM-WN-110,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 10 Pro (Registered Trademark)",,"10.0 (14393)"
"STT1-KLAD-WW-01","CN=STT1-KLAD-WW-01,OU=Sterlitamak1,OU=Ural -1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SCH1-KLAD-WW-01","CN=SCH1-KLAD-WW-01,OU=Sochi1,OU=Iug-1,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SML2-KLAD-WW-01","CN=SML2-KLAD-WW-01,OU=Smolensk2,OU=Moskva - 2,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"ORL1-KLAD-WW-01","CN=ORL1-KLAD-WW-01,OU=Orel1,OU=Tsentr-1,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"KSD2-KLAD-WW-01","CN=KSD2-KLAD-WW-01,OU=Krasnodar2,OU=Iug-1,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"NKM1-KLAD-WW-01","CN=NKM1-KLAD-WW-01,OU=Nizhnekamsk1,OU=Povolzhe-2,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"TVR2-KLAD-WW-01","CN=TVR2-KLAD-WW-01,OU=Tver2,OU=Moskva - 1,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"VNG1-KLAD-WW-01","CN=VNG1-KLAD-WW-01,OU=Velikiy_Novgorod1,OU=Sankt-Peterburg-2,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WN-111","CN=CO-COM-WN-111,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 10 Pro (Registered Trademark)",,"10.0 (14393)"
"DC-WSUS02","CN=DC-WSUS02,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2012 R2 Standard",,"6.3 (9600)"
"SAR2-DIR-WW-01","CN=SAR2-DIR-WW-01,OU=Saratov2,OU=Povolzhe-1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"DC-TMPS01","CN=DC-TMPS01,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2016 Standard",,"10.0 (14393)"
"D2-TMPS01","CN=D2-TMPS01,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2016 Standard",,"10.0 (14393)"
"KSN3-KLAD-WW-01","CN=KSN3-KLAD-WW-01,OU=Krasnoyarsk3,OU=Sibir,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"PTZ1-KLAD-WW-01","CN=PTZ1-KLAD-WW-01,OU=Petrozavodsk1,OU=Sankt-Peterburg-1,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"ROS1-KLAD-WW-01","CN=ROS1-KLAD-WW-01,OU=Rostov1,OU=Iug-2,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-215","CN=CO-COM-WW-215,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-216","CN=CO-COM-WW-216,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"EKB5-KLAD-WW-01","CN=EKB5-KLAD-WW-01,OU=Ekaterinburg5,OU=Ural-2,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-217","CN=CO-COM-WW-217,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"UFA1-KLAD-WW-01","CN=UFA1-KLAD-WW-01,OU=Ufa1,OU=Closed,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SPB2-POS","CN=SPB2-POS,OU=Saint_Peterburg2,OU=Sankt-Peterburg-2,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2012 R2 Standard",,"6.3 (9600)"
"CHR1-KLAD-WW-01","CN=CHR1-KLAD-WW-01,OU=Cherepovets1,OU=Tsentr-Sever,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"D2-WSA01","CN=D2-WSA01,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local",,,
"CO-TEST-SRV2003","CN=CO-TEST-SRV2003,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2003","Service Pack 2","5.2 (3790)"
"CO-COM-WW-218","CN=CO-COM-WW-218,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"UFA1-POS","CN=UFA1-POS,OU=Ufa1,OU=Closed,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2012 R2 Standard",,"6.3 (9600)"
"CO-IT-WW-08","CN=CO-IT-WW-08,OU=Computers_IT,OU=Informational Technologies,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-220","CN=CO-COM-WW-220,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
